Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,temperature,humidity,precipitation,weather_description,Traffic_Level,Distance_km,TARGET
20.0,4.8,26.911927,75.797282,27.021927,75.907282,Snack ,scooter ,23.84,29.0,0.0,clear sky,Very High,22.34,53.95
39.0,3.5,21.175975,72.795503,21.255975,72.875503,Drinks ,motorcycle ,22.88,43.0,0.0,clear sky,High,15.2,41.6
36.0,4.8,13.029198,77.570997,13.159198,77.700997,Drinks ,motorcycle ,18.47,93.0,0.0,fog,High,26.59,57.38333333
26.0,4.9,10.027364,76.308258,10.137364,76.418258,Snack ,motorcycle ,23.95,88.0,0.0,mist,High,21.12,45.4
29.0,4.7,0.0,0.0,0.13,0.13,Meal ,scooter ,26.27,84.0,0.0,overcast clouds,High,13.4,35.98333333
24.0,4.6,21.15276,72.778059,21.17276,72.798059,Snack ,scooter ,23.72,44.0,0.0,clear sky,Low,3.84,15.43333333
24.0,4.9,0.0,0.0,0.06,0.06,Snack ,motorcycle ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
24.0,4.9,0.0,0.0,0.06,0.06,Snack ,motorcycle ,26.33,82.0,0.36,light rain,High,13.4,35.98333333
32.0,4.6,19.1813,72.836191,19.2113,72.866191,Buffet ,motorcycle ,26.91,44.0,0.0,smoke,Moderate,6.86,28.36666667
32.0,4.6,12.972793,80.249982,13.012793,80.289982,Snack ,scooter ,26.55,87.0,0.0,mist,High,9.89,43.45
33.0,4.5,13.026286,80.275235,13.046286,80.295235,Buffet ,motorcycle ,28.47,81.0,0.0,mist,Very Low,3.19,13.25
20.0,4.8,19.176269,72.836721,19.226269,72.886721,Meal ,motorcycle ,28.71,54.0,0.0,smoke,Moderate,9.79,35.75
35.0,4.3,0.0,0.0,0.11,0.11,Snack ,electric_scooter ,26.44,81.0,0.25,light rain,High,13.4,35.98333333
24.0,4.7,18.536718,73.830327,18.576718,73.870328,Snack ,scooter ,22.86,49.0,0.0,clear sky,Moderate,10.18,33.96666667
37.0,4.9,22.745049,75.892471,22.765049,75.912471,Snack ,motorcycle ,17.11,77.0,0.0,haze,Low,13.4,21.66666667
36.0,4.6,22.751857,75.866699,22.831857,75.946699,Drinks ,motorcycle ,17.19,72.0,0.0,haze,High,19.3,55.0
35.0,4.6,13.091809,80.219104,13.201809,80.329104,Buffet ,electric_scooter ,28.4,86.0,0.0,overcast clouds,Very High,26.14,55.51666667
25.0,4.6,26.911927,75.797282,27.051927,75.937282,Snack ,motorcycle ,19.94,47.0,0.0,clear sky,Very High,28.27,51.75
34.0,4.0,22.553227,88.353273,22.633227,88.433273,Meal ,motorcycle ,28.0,65.0,0.0,haze,High,15.8,42.15
35.0,4.7,26.911378,75.789034,26.991378,75.869034,Buffet ,motorcycle ,19.9,68.0,0.0,haze,High,16.93,35.25
23.0,4.9,22.727021,75.884167,22.857021,76.014167,Buffet ,motorcycle ,17.31,53.0,0.0,clear sky,Very High,27.79,51.03333333
26.0,4.1,13.026286,80.275235,13.086286,80.335235,Meal ,motorcycle ,26.48,87.0,0.0,broken clouds,Very High,16.91,59.01666667
29.0,4.6,-23.374989,85.335486,23.434989,85.395486,Meal ,electric_scooter ,16.23,94.0,0.0,mist,High,13.4,35.98333333
29.0,5.0,11.022477,76.995667,11.032477,77.005667,Snack ,motorcycle ,25.9,73.0,0.0,haze,Low,2.99,16.11666667
25.0,4.2,11.024839,77.007003,11.064839,77.047003,Drinks ,motorcycle ,24.99,73.0,0.0,mist,Low,7.49,31.31666667
37.0,4.2,13.02978,80.208812,13.10978,80.288812,Snack ,motorcycle ,26.36,88.0,0.0,mist,High,16.57,44.41666667
26.0,4.9,12.3085,76.665808,12.3385,76.695808,Buffet ,motorcycle ,18.17,81.0,0.0,broken clouds,Low,6.08,20.56666667
38.0,4.9,22.75004,75.902847,22.80004,75.952847,Snack ,motorcycle ,17.17,72.0,0.0,haze,Moderate,12.14,29.08333333
25.0,4.5,21.157735,72.768778,21.287735,72.898778,Meal ,electric_scooter ,24.9,43.0,0.0,clear sky,Very High,33.95,52.86666667
30.0,4.8,21.149669,72.772629,21.179669,72.802629,Buffet ,motorcycle ,24.94,73.0,0.0,mist,Low,6.64,21.55
27.0,4.9,17.455894,78.375467,17.515894,78.435467,Meal ,motorcycle ,22.71,60.0,0.0,haze,High,12.94,41.4
29.0,4.6,22.753839,75.897429,22.783839,75.927429,Buffet ,motorcycle ,22.1,60.0,0.0,haze,Low,7.16,22.06666667
34.0,4.7,12.979166,77.640709,13.049166,77.710709,Drinks ,motorcycle ,22.45,74.0,0.0,haze,Moderate,12.97,40.16666667
21.0,4.9,22.310526,73.170937,22.390526,73.250937,Buffet ,motorcycle ,25.99,57.0,0.0,haze,High,16.43,35.18333333
35.0,4.4,22.745536,75.893106,22.815536,75.963106,Buffet ,scooter ,22.21,60.0,0.0,haze,Moderate,16.14,33.91666667
24.0,4.1,0.0,0.0,0.05,0.05,Drinks ,motorcycle ,26.26,85.0,0.0,overcast clouds,High,13.4,35.98333333
26.0,4.8,26.90294,75.793007,26.99294,75.883007,Meal ,electric_scooter ,23.94,46.0,0.0,haze,High,16.67,45.63333333
24.0,4.7,12.939496,77.625999,12.979496,77.665999,Drinks ,motorcycle ,19.75,92.0,0.0,mist,Moderate,9.5,34.75
21.0,4.7,17.41233,78.449654,17.49233,78.529654,Meal ,electric_scooter ,22.73,60.0,0.0,haze,High,17.95,46.0
39.0,4.8,15.51315,73.78346,15.54315,73.81346,Snack ,scooter ,25.75,83.0,0.0,mist,Low,8.6,25.9
39.0,4.9,11.022477,76.995667,11.102477,77.075667,Buffet ,motorcycle ,25.05,73.0,0.0,mist,High,15.17,37.98333333
20.0,4.7,0.0,0.0,0.05,0.05,Buffet ,motorcycle ,26.31,82.0,0.38,light rain,High,13.4,35.98333333
34.0,4.6,13.029198,77.570997,13.079198,77.620997,Buffet ,scooter ,22.19,73.0,0.0,haze,High,11.71,35.16666667
20.0,4.7,13.029198,77.570997,13.119198,77.660997,Meal ,scooter ,21.83,73.0,0.0,haze,Very High,21.89,48.7
22.0,5.0,11.02091,76.940432,11.10091,77.020432,Buffet ,motorcycle ,24.92,73.0,0.0,mist,High,17.39,39.2
30.0,4.7,21.175104,72.804342,21.195104,72.824342,Drinks ,scooter ,23.39,43.0,0.0,clear sky,Low,4.21,23.46666667
37.0,4.6,18.533811,73.899315,18.583811,73.949315,Snack ,motorcycle ,19.18,65.0,0.0,clear sky,High,14.65,36.96666667
22.0,4.9,12.297954,76.665169,12.307954,76.675169,Snack ,motorcycle ,18.05,81.0,0.0,broken clouds,Very Low,3.09,12.66666667
26.0,4.9,19.176269,72.836721,19.196269,72.856721,Snack ,scooter ,27.88,57.0,0.0,smoke,Low,4.64,28.1
36.0,4.7,13.054347,80.257221,13.134347,80.337221,Snack ,scooter ,26.42,87.0,0.0,scattered clouds,Very High,17.62,58.51666667
21.0,4.8,26.913483,75.803139,26.963483,75.853139,Snack ,motorcycle ,23.67,46.0,0.0,haze,Moderate,8.53,33.43333333
29.0,4.6,-11.003681,-76.975525,11.073681,77.045525,Meal ,bicycle ,26.03,65.0,0.0,haze,High,13.4,35.98333333
36.0,4.5,17.45971,78.368855,17.46971,78.378855,Snack ,electric_scooter ,21.23,68.0,0.0,broken clouds,Very Low,2.15,12.66666667
24.0,4.9,11.001852,76.976268,11.081852,77.056268,Snack ,motorcycle ,25.99,73.0,0.0,haze,High,15.65,37.98333333
35.0,4.9,26.911927,75.797282,26.961927,75.847282,Meal ,scooter ,19.73,68.0,0.0,haze,High,9.76,33.7
37.0,4.8,12.323194,76.630583,12.403194,76.710583,Drinks ,scooter ,18.43,82.0,0.0,broken clouds,High,17.9,43.21666667
35.0,5.0,0.0,0.0,0.07,0.07,Snack ,motorcycle ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
33.0,4.3,22.311844,73.165081,22.331844,73.185081,Buffet ,motorcycle ,22.88,42.0,0.0,clear sky,Low,5.52,14.35
22.0,4.7,30.885814,75.786976,30.935814,75.836976,Drinks ,electric_scooter ,18.97,57.0,0.0,clear sky,Moderate,10.93,30.88333333
39.0,4.9,13.044694,80.26147,13.064694,80.28147,Snack ,scooter ,28.37,81.0,0.0,mist,Low,5.02,22.75
28.0,5.0,26.905287,75.794592,27.015287,75.904592,Buffet ,scooter ,19.81,46.0,0.0,clear sky,Very High,20.59,56.3
36.0,4.3,21.160437,72.774209,21.170437,72.784209,Drinks ,motorcycle ,23.84,44.0,0.0,clear sky,Low,4.05,20.3
34.0,4.8,-26.472001,80.354002,26.582001,80.464002,Snack ,scooter ,19.98,56.0,0.0,clear sky,High,13.4,35.98333333
30.0,5.0,22.75004,75.902847,22.76004,75.912847,Buffet ,scooter ,23.09,60.0,0.0,haze,Very Low,2.19,12.81666667
33.0,4.1,26.913483,75.803139,27.043483,75.933139,Buffet ,scooter ,19.83,47.0,0.0,clear sky,High,27.46,46.38333333
37.0,4.5,22.53796,88.349843,22.57796,88.389843,Meal ,scooter ,27.99,65.0,0.0,haze,Moderate,9.67,27.56666667
35.0,5.0,26.474133,80.3481,26.494133,80.3681,Drinks ,motorcycle ,25.62,42.0,0.0,clear sky,High,10.83,45.15
35.0,4.6,22.311603,73.165012,22.351603,73.205012,Buffet ,motorcycle ,24.02,64.0,0.0,haze,Low,8.42,21.3
34.0,4.1,9.988483,76.295211,10.098483,76.405211,Buffet ,electric_scooter ,23.91,88.0,0.0,mist,Very High,24.16,54.06666667
27.0,4.6,21.15276,72.778059,21.19276,72.818059,Drinks ,motorcycle ,23.44,44.0,0.0,clear sky,Low,8.62,29.33333333
27.0,4.5,17.458998,78.500366,17.538998,78.580366,Meal ,motorcycle ,21.2,65.0,0.0,broken clouds,High,17.68,42.68333333
32.0,4.7,17.428294,78.404423,17.478294,78.454423,Buffet ,electric_scooter ,22.94,60.0,0.0,haze,High,15.02,40.46666667
33.0,4.7,26.914142,75.805704,27.004142,75.895704,Buffet ,motorcycle ,23.93,28.0,0.0,clear sky,High,16.42,35.58333333
34.0,4.5,22.311358,73.164798,22.361358,73.214798,Meal ,motorcycle ,22.8,43.0,0.0,clear sky,Moderate,11.46,22.35
23.0,4.6,9.988483,76.295211,10.078483,76.385211,Buffet ,electric_scooter ,24.3,90.0,0.0,scattered clouds,High,18.71,47.85
32.0,4.9,21.157729,72.768726,21.167729,72.778726,Buffet ,scooter ,24.98,73.0,0.0,mist,Very Low,2.41,12.33333333
34.0,5.0,19.121999,72.908493,19.161999,72.948493,Snack ,scooter ,28.03,57.0,0.0,smoke,Moderate,10.81,38.5
26.0,4.6,22.74806,75.8934,22.77806,75.9234,Buffet ,motorcycle ,22.12,60.0,0.0,haze,Low,6.42,20.58333333
39.0,4.7,23.354422,85.3329,23.394422,85.3729,Drinks ,motorcycle ,20.06,83.0,0.0,mist,Low,6.99,32.73333333
26.0,4.6,23.234631,77.401663,23.304631,77.471663,Meal ,electric_scooter ,18.29,57.0,0.0,clear sky,High,15.13,44.01666667
26.0,4.7,26.910262,75.783013,26.980262,75.853013,Snack ,electric_scooter ,23.29,46.0,0.0,haze,High,14.58,42.7
31.0,4.9,0.0,0.0,0.08,0.08,Snack ,scooter ,26.27,84.0,0.0,broken clouds,High,13.4,35.98333333
20.0,4.9,22.539129,88.365507,22.579129,88.405507,Meal ,scooter ,28.01,65.0,0.0,haze,Moderate,10.15,24.7
37.0,4.6,0.0,0.0,0.04,0.04,Drinks ,motorcycle ,26.28,85.0,0.0,broken clouds,High,13.4,35.98333333
37.0,4.8,11.026117,76.944652,11.066117,76.984652,Meal ,scooter ,24.83,73.0,0.0,mist,Moderate,8.81,31.21666667
34.0,4.2,10.028047,76.310019,10.048047,76.330019,Drinks ,motorcycle ,25.3,84.0,0.4,light rain,Low,5.29,35.98333333
30.0,4.7,22.533662,88.366217,22.603662,88.436217,Buffet ,motorcycle ,28.03,65.0,0.0,haze,High,16.43,42.21666667
35.0,4.3,18.539299,73.897902,18.579299,73.937902,Buffet ,motorcycle ,19.21,65.0,0.0,clear sky,Moderate,12.05,28.35
37.0,4.6,12.325461,76.632278,12.365461,76.672278,Drinks ,motorcycle ,18.36,81.0,0.0,broken clouds,Moderate,8.86,33.43333333
26.0,4.9,21.173493,72.801953,21.193493,72.821953,Buffet ,motorcycle ,24.94,73.0,0.0,mist,Low,3.79,17.78333333
21.0,4.6,21.186884,72.793616,21.226884,72.833616,Drinks ,scooter ,23.1,43.0,0.0,clear sky,Low,6.71,24.91666667
22.0,4.1,27.158822,78.045359,27.248822,78.135359,Meal ,motorcycle ,21.55,52.0,0.0,clear sky,High,22.3,34.58333333
29.0,4.6,22.760072,75.892574,22.810072,75.942574,Drinks ,scooter ,22.14,60.0,0.0,haze,Moderate,11.03,37.13333333
22.0,4.2,22.751857,75.866699,22.771857,75.886699,Snack ,motorcycle ,17.18,72.0,0.0,haze,Low,3.93,18.58333333
22.0,4.8,12.972532,77.608179,13.042532,77.678179,Snack ,motorcycle ,19.7,93.0,0.0,mist,High,12.08,47.28333333
36.0,4.6,26.913726,75.75282,26.993726,75.83282,Drinks ,motorcycle ,18.74,64.0,0.0,haze,Very High,20.8,59.9
21.0,4.6,-26.49095,80.318656,26.53095,80.358656,Drinks ,motorcycle ,25.62,42.0,0.0,clear sky,High,13.4,35.98333333
20.0,4.9,18.51421,73.838429,18.60421,73.928429,Snack ,motorcycle ,19.05,65.0,0.0,clear sky,High,16.57,48.4
36.0,4.5,23.351489,85.324253,23.401489,85.374253,Snack ,motorcycle ,17.67,68.0,0.0,clear sky,Moderate,10.0,26.5
34.0,4.9,18.563934,73.915367,18.633934,73.985367,Snack ,scooter ,23.43,47.0,0.0,clear sky,High,15.3,47.6
30.0,5.0,21.15276,72.778059,21.28276,72.908059,Drinks ,motorcycle ,22.83,43.0,0.0,clear sky,Very High,24.01,57.51666667
26.0,4.8,12.323225,76.630028,12.393225,76.700028,Meal ,motorcycle ,20.8,67.0,0.0,clear sky,Moderate,16.12,30.53333333
30.0,4.2,13.02978,80.208812,13.11978,80.298812,Meal ,motorcycle ,26.39,88.0,0.0,scattered clouds,High,18.86,47.15
27.0,4.7,17.430448,78.418213,17.540448,78.528213,Meal ,motorcycle ,20.95,65.0,0.0,broken clouds,Very High,34.27,53.13333333
26.0,4.7,19.207222,72.972281,19.237222,73.002281,Buffet ,motorcycle ,27.05,48.0,0.0,clear sky,Low,4.74,15.63333333
31.0,4.0,21.160522,72.771477,21.230522,72.841477,Drinks ,motorcycle ,22.98,43.0,0.0,clear sky,Moderate,12.33,37.48333333
35.0,3.7,23.353783,85.326967,23.433783,85.406967,Drinks ,scooter ,20.15,83.0,0.0,mist,High,15.26,46.83333333
25.0,4.6,0.0,0.0,0.06,0.06,Snack ,motorcycle ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
29.0,4.8,22.722634,75.886959,22.782634,75.946959,Buffet ,electric_scooter ,17.08,72.0,0.0,haze,High,13.17,34.11666667
29.0,4.6,30.335259,78.053162,30.375259,78.093162,Buffet ,scooter ,16.85,79.0,0.0,clear sky,Low,7.22,19.53333333
25.0,5.0,17.455894,78.375467,17.475894,78.395467,Buffet ,motorcycle ,22.74,60.0,0.0,haze,Low,5.96,16.43333333
27.0,4.6,18.592718,73.773572,18.632718,73.813572,Drinks ,motorcycle ,22.46,50.0,0.0,clear sky,Low,8.39,29.51666667
21.0,5.0,23.351489,85.324253,23.441489,85.414253,Buffet ,motorcycle ,17.75,68.0,0.0,clear sky,Moderate,16.3,30.73333333
33.0,4.8,13.026286,80.275235,13.046286,80.295235,Meal ,motorcycle ,28.48,81.0,0.0,mist,Very Low,3.19,11.16666667
27.0,4.5,18.516216,73.842527,18.556216,73.882527,Meal ,electric_scooter ,19.27,65.0,0.0,clear sky,Low,7.91,20.95
38.0,4.6,26.90519,75.810753,26.98519,75.890753,Buffet ,motorcycle ,19.96,68.0,0.0,haze,Moderate,15.11,33.68333333
29.0,4.5,12.949934,77.699386,12.969934,77.719386,Meal ,scooter ,19.74,93.0,0.0,mist,Low,5.0,20.78333333
37.0,4.7,22.751857,75.866699,22.781857,75.896699,Buffet ,motorcycle ,17.17,72.0,0.0,haze,Low,5.86,22.55
31.0,3.4,18.593481,73.785901,18.683481,73.875901,Snack ,motorcycle ,22.95,48.0,0.0,clear sky,High,18.69,48.05
29.0,5.0,21.170798,72.790489,21.220798,72.840489,Buffet ,scooter ,23.05,43.0,0.0,clear sky,Moderate,9.3,24.33333333
38.0,4.9,12.979096,77.640625,12.989096,77.650625,Buffet ,motorcycle ,19.54,92.0,0.0,mist,Very Low,1.79,13.73333333
29.0,4.8,22.760072,75.892574,22.890072,76.022574,Meal ,scooter ,22.2,45.0,0.0,clear sky,Very High,26.3,49.63333333
39.0,4.8,0.0,0.0,0.13,0.13,Meal ,motorcycle ,26.48,81.0,0.21,light rain,High,13.4,35.98333333
24.0,4.8,26.846156,75.8023,26.926156,75.8823,Drinks ,motorcycle ,19.98,68.0,0.0,haze,High,18.08,50.88333333
34.0,4.7,22.311844,73.165081,22.361844,73.215081,Drinks ,scooter ,22.78,43.0,0.0,clear sky,Moderate,11.75,31.9
38.0,4.5,11.010375,76.95295,11.070375,77.01295,Buffet ,motorcycle ,24.94,73.0,0.0,mist,Moderate,12.14,32.81666667
20.0,5.0,12.972532,77.608179,13.082532,77.718179,Snack ,scooter ,22.05,74.0,0.0,haze,Very High,28.45,54.66666667
37.0,5.0,21.175104,72.804342,21.285104,72.914342,Meal ,motorcycle ,22.84,43.0,0.0,clear sky,High,21.28,43.23333333
28.0,4.3,11.006686,76.951736,11.016686,76.961736,Snack ,motorcycle ,23.78,78.0,0.0,mist,Low,2.85,18.16666667
34.0,4.5,26.905287,75.794592,27.045287,75.934592,Drinks ,motorcycle ,19.91,47.0,0.0,clear sky,Very High,29.78,57.28333333
34.0,5.0,0.0,0.0,0.06,0.06,Drinks ,scooter ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
21.0,4.6,23.264015,77.408236,23.334015,77.478236,Snack ,scooter ,22.22,42.0,0.0,clear sky,Moderate,11.87,34.05
33.0,4.4,12.311072,76.654878,12.391072,76.734878,Meal ,scooter ,18.39,82.0,0.0,broken clouds,High,19.02,44.93333333
25.0,4.9,17.455894,78.375467,17.585894,78.505467,Buffet ,scooter ,21.02,65.0,0.0,broken clouds,Very High,33.29,61.18333333
